Ampang Jaya,3.292435,3.081443,101.733063,101.85356,polygon,ok
Hulu Langat,3.275179,2.866254,101.721198,101.97006,multipolygon,ok
Hulu Selangor,3.804692,3.321608,101.319496,101.814739,polygon,ok
Klang,3.19289,2.88442,101.199003,101.52408,multipolygon,ok. need to adjust island boundary
Kuala Langat,2.978663,2.643984,101.286413,101.681967,polygon,ok
Kuala Selangor,3.600198,3.165252,101.101054,101.492745,multipolygon,ok
Petaling Jaya,3.071023,3.205085,101.552817,101.663317,,
Sabak Bernam,3.8706898,3.485592,100.813934,101.349522,,
Selayang,3.401885,3.199615,101.430351,101.83678,,
Sepang,3.012039,2.594652,101.589953,101.78966,polygon,ok. To remove putrajaya out of shading.
Shah Alam,3.223441,2.958439,101.441838,101.591569,,
Subang Jaya,3.085027,2.976325,101.549597,101.730601,,
Selangor,3.8706898,2.594652,100.813934,101.97006,,
